
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
72,Thu Apr 4 1996,,,Box Score,,Miami Heat,W,,100,92,64,8,W 4,
73,Fri Apr 5 1996,,,Box Score,@,Charlotte Hornets,W,,126,92,65,8,W 5,
74,Sun Apr 7 1996,,,Box Score,@,Orlando Magic,W,,90,86,66,8,W 6,
75,Mon Apr 8 1996,,,Box Score,,Charlotte Hornets,L,,97,98,66,9,L 1,
76,Thu Apr 11 1996,,,Box Score,@,New Jersey Nets,W,,113,100,67,9,W 1,
77,Fri Apr 12 1996,,,Box Score,,Philadelphia 76ers,W,,112,82,68,9,W 2,
78,Sun Apr 14 1996,,,Box Score,@,Cleveland Cavaliers,W,,98,72,69,9,W 3,
79,Tue Apr 16 1996,,,Box Score,@,Milwaukee Bucks,W,,86,80,70,9,W 4,
80,Thu Apr 18 1996,,,Box Score,,Detroit Pistons,W,,110,79,71,9,W 5,
81,Sat Apr 20 1996,,,Box Score,,Indiana Pacers,L,,99,100,71,10,L 1,
82,Sun Apr 21 1996,,,Box Score,@,Washington Bullets,W,,103,93,72,10,W 1,
